id,aluno_id,curso_id,data_matricula,status_matricula,data_conclusao
40,105,31,2024-05-25 20:25:04,ativa,default
41,240,40,2025-05-11 16:04:18,ativa,default
42,91,78,2025-02-14 12:13:41,ativa,default
43,230,26,2025-01-21 05:44:41,pendente,default
44,185,51,2024-10-05 17:09:20,ativa,default
45,217,65,2024-02-10 07:28:59,concluida,2024-05-29 07:28:59
46,247,3,2024-10-01 07:42:10,concluida,2025-01-11 07:42:10
47,154,77,2024-04-24 17:42:02,ativa,default
48,90,33,2024-10-02 06:22:58,ativa,default
49,146,49,2024-03-30 01:11:57,ativa,default
50,171,18,2024-07-03 16:08:17,ativa,default
51,98,1,2025-10-13 05:02:02,concluida,2025-10-26 23:15:49
52,252,52,2024-08-27 08:53:42,cancelada,default
53,192,50,2024-06-12 12:03:24,ativa,default
54,37,53,2025-09-17 18:43:54,ativa,default
55,290,21,2025-04-11 07:22:43,cancelada,default
56,179,66,2023-10-31 05:28:25,ativa,default
57,189,8,2023-12-30 09:14:03,cancelada,default
58,127,32,2024-06-24 22:00:27,cancelada,default
59,186,4,2023-11-11 23:46:04,pendente,default
60,234,19,2025-02-08 14:15:20,ativa,default
61,83,2,2025-06-29 19:54:11,ativa,default
62,197,51,2023-11-03 01:55:20,cancelada,default
63,42,67,2025-04-16 07:51:53,ativa,default
64,219,33,2023-11-18 12:15:37,ativa,default
65,273,49,2024-03-05 12:03:02,concluida,2024-06-14 12:03:02
66,46,14,2024-01-14 02:24:56,concluida,2024-03-03 02:24:56
67,74,35,2025-03-26 08:46:27,ativa,default
68,4,22,2024-06-10 23:12:23,pendente,default
69,214,68,2024-08-25 23:26:00,ativa,default
70,221,22,2025-04-29 09:37:23,ativa,default
71,69,26,2024-06-15 16:38:16,ativa,default
72,57,58,2024-03-25 15:31:27,ativa,default
73,31,24,2025-04-13 13:49:16,cancelada,default
74,210,57,2024-01-24 00:31:45,pendente,default
75,86,11,2024-12-30 20:08:36,ativa,default
76,142,9,2024-11-10 22:11:01,ativa,default
77,245,63,2023-12-08 19:35:36,pendente,default
78,137,1,2023-12-15 02:03:27,concluida,2023-12-25 02:03:27
79,50,28,2024-05-10 22:59:58,ativa,default
80,267,35,2024-06-16 06:02:02,concluida,2024-09-06 06:02:02
81,220,44,2024-10-12 10:46:22,cancelada,default
82,123,47,2023-12-15 08:45:21,ativa,default
83,30,46,2024-11-22 19:36:59,pendente,default
84,206,18,2025-09-30 01:20:56,pendente,default
85,272,36,2023-11-10 14:12:53,ativa,default
86,244,66,2024-08-29 16:25:16,pendente,default
87,165,3,2024-01-17 10:08:57,concluida,2024-05-04 10:08:57
88,167,57,2025-03-01 01:10:20,ativa,default
89,42,45,2024-08-14 05:55:43,cancelada,default
90,52,50,2024-12-30 01:09:26,ativa,default
91,74,67,2024-03-20 04:53:26,pendente,default
92,255,12,2024-12-22 03:17:04,cancelada,default
93,240,22,2024-07-27 19:03:07,ativa,default
94,277,31,2025-02-19 15:33:29,ativa,default
95,223,4,2025-05-15 11:22:34,cancelada,default
96,144,29,2025-02-05 05:55:20,cancelada,default
97,64,18,2024-04-27 00:11:49,concluida,2024-05-13 00:11:49
98,171,29,2024-03-16 01:23:37,pendente,default
99,176,49,2024-09-30 23:27:19,ativa,default
100,288,56,2025-03-02 15:07:28,ativa,default
101,149,12,2025-07-04 20:01:06,ativa,default
102,97,15,2024-03-19 09:52:29,pendente,default
103,161,49,2024-03-15 23:12:09,ativa,default
104,275,25,2024-09-24 07:50:14,ativa,default
105,187,17,2024-05-12 01:21:34,ativa,default
106,55,51,2025-10-17 03:39:54,concluida,2025-10-26 23:15:49
107,75,38,2025-03-16 05:03:55,ativa,default
108,76,77,2025-01-09 17:57:10,concluida,2025-05-02 17:57:10
109,18,77,2024-12-03 12:01:02,ativa,default
110,64,36,2023-11-03 02:21:58,ativa,default
111,111,64,2025-01-01 09:32:54,pendente,default
112,171,20,2025-03-25 15:04:09,concluida,2025-04-05 15:04:09
113,92,63,2024-09-20 12:22:26,cancelada,default
114,82,3,2024-04-13 08:58:52,ativa,default
115,243,45,2024-09-21 09:01:32,pendente,default
116,145,37,2023-11-13 16:09:38,concluida,2024-01-27 16:09:38
117,202,13,2025-06-14 11:29:18,concluida,2025-09-01 11:29:18
118,28,39,2024-07-14 23:25:45,ativa,default
119,71,57,2023-11-14 05:41:55,ativa,default
120,75,27,2025-03-17 16:08:25,concluida,2025-03-23 16:08:25
121,186,74,2025-07-14 17:53:23,ativa,default
122,219,22,2025-08-30 19:46:00,ativa,default
123,243,23,2025-09-03 18:59:29,cancelada,default
124,174,76,2024-08-08 17:51:16,ativa,default
125,207,32,2025-09-22 18:56:18,ativa,default
126,251,39,2023-11-22 01:33:30,cancelada,default
127,193,12,2024-07-08 23:35:12,ativa,default
128,228,48,2025-10-15 18:53:41,pendente,default
129,63,63,2024-01-09 04:42:16,ativa,default
130,294,74,2024-06-22 13:17:52,ativa,default
131,49,76,2025-04-24 09:17:03,ativa,default
132,223,39,2024-03-20 18:42:15,pendente,default
133,33,69,2025-04-20 08:30:22,concluida,2025-04-27 08:30:22
134,202,72,2024-04-25 03:57:50,ativa,default
135,266,75,2024-04-22 23:32:10,pendente,default
136,107,16,2025-04-24 01:27:04,ativa,default
137,3,72,2024-07-26 11:49:14,pendente,default
138,66,74,2025-03-28 23:30:07,ativa,default
139,288,33,2025-09-21 20:10:59,cancelada,default
140,260,39,2024-10-19 03:26:30,ativa,default
141,1,32,2024-12-23 21:34:58,cancelada,default
142,266,38,2023-12-22 03:49:04,ativa,default
143,296,63,2023-11-15 11:52:12,ativa,default
144,181,78,2024-04-23 04:40:25,ativa,default
145,51,6,2025-02-26 21:55:35,ativa,default
146,154,28,2025-06-11 01:20:25,ativa,default
147,184,36,2025-06-17 00:36:22,ativa,default
148,282,33,2025-02-02 09:21:49,ativa,default
149,84,52,2024-07-16 20:13:57,cancelada,default
150,218,19,2024-04-26 15:50:42,pendente,default
151,138,25,2024-10-10 02:44:32,ativa,default
152,262,78,2025-05-12 07:59:00,concluida,2025-06-26 07:59:00
153,223,49,2025-09-30 01:17:13,ativa,default
154,139,16,2024-04-30 19:15:33,ativa,default
155,209,9,2024-11-22 23:57:20,pendente,default
156,171,35,2025-05-30 15:02:38,ativa,default
157,51,49,2025-03-13 09:28:41,cancelada,default
158,64,23,2024-05-05 12:06:09,ativa,default
159,251,13,2024-05-03 10:33:38,concluida,2024-08-26 10:33:38
160,145,71,2025-01-22 01:08:48,pendente,default
161,25,22,2024-12-05 09:04:49,ativa,default
162,273,71,2024-02-26 08:36:13,ativa,default
163,66,34,2025-10-17 04:33:55,concluida,2025-10-26 23:15:49
164,65,19,2024-10-04 02:35:58,concluida,2024-10-15 02:35:58
165,190,32,2023-12-02 01:06:06,ativa,default
166,235,24,2024-08-03 10:22:30,concluida,2024-10-11 10:22:30
167,147,36,2024-08-14 04:18:34,cancelada,default
168,118,40,2024-01-15 20:05:54,cancelada,default
169,209,41,2025-07-26 00:09:21,pendente,default
170,123,12,2025-05-10 02:19:02,pendente,default
171,147,71,2024-06-09 22:52:28,cancelada,default
172,218,66,2025-06-09 05:48:00,ativa,default
173,273,16,2024-09-06 22:45:28,ativa,default
174,4,55,2023-11-07 03:48:34,concluida,2023-12-13 03:48:34
175,271,78,2025-09-13 01:09:00,ativa,default
176,87,68,2025-03-10 16:53:56,pendente,default
177,69,66,2024-10-30 21:24:37,ativa,default
178,195,22,2024-10-09 19:08:28,ativa,default
179,128,70,2025-06-28 12:42:10,ativa,default
180,151,34,2025-03-22 23:10:57,concluida,2025-06-07 23:10:57
181,202,28,2024-12-17 23:51:14,ativa,default
182,19,60,2024-02-02 05:29:11,pendente,default
183,4,79,2024-07-12 11:18:06,ativa,default
184,55,1,2024-11-02 16:29:09,ativa,default
185,5,13,2024-08-11 05:20:56,ativa,default
186,271,66,2025-05-22 08:18:36,pendente,default
187,250,1,2025-05-19 23:21:23,ativa,default
188,241,51,2024-10-08 12:22:02,ativa,default
189,94,69,2025-01-24 19:18:23,cancelada,default
190,225,21,2025-06-05 10:23:04,concluida,2025-06-10 10:23:04
191,184,26,2025-07-05 16:21:43,ativa,default
192,69,51,2024-08-21 11:12:17,cancelada,default
193,83,26,2024-06-23 13:35:11,pendente,default
194,251,71,2024-06-06 18:37:26,ativa,default
195,205,65,2024-09-23 18:28:44,pendente,default
196,56,3,2025-06-19 17:36:02,ativa,default
197,7,31,2025-09-03 10:48:24,ativa,default
198,5,56,2024-06-22 12:43:29,ativa,default
199,43,55,2025-02-15 00:46:38,ativa,default
200,262,24,2025-02-13 13:01:40,concluida,2025-06-08 13:01:40
201,135,32,2023-12-14 07:38:19,ativa,default
202,53,65,2024-02-09 16:40:01,ativa,default
203,77,30,2025-06-25 18:26:49,ativa,default
204,141,25,2025-05-30 07:44:33,pendente,default
205,103,12,2025-09-04 09:24:56,ativa,default
206,157,30,2025-03-13 11:01:26,ativa,default
207,32,66,2024-08-14 23:49:16,pendente,default
208,57,35,2024-10-19 13:02:56,cancelada,default
209,215,32,2024-12-03 21:31:56,ativa,default
210,1,7,2023-12-20 11:33:12,ativa,default
211,242,36,2024-02-13 19:35:42,ativa,default
212,130,63,2024-10-19 11:05:34,ativa,default
213,50,2,2023-11-27 03:10:28,concluida,2023-12-18 03:10:28
214,170,47,2024-10-21 01:49:20,ativa,default
215,191,31,2023-12-31 13:13:01,ativa,default
216,197,12,2025-07-10 18:30:47,ativa,default
217,62,6,2024-03-04 23:26:22,concluida,2024-04-02 23:26:22
218,229,13,2025-08-11 03:21:48,ativa,default
219,155,61,2025-04-03 03:50:15,concluida,2025-04-13 03:50:15
220,66,25,2024-08-24 03:13:15,concluida,2024-12-21 03:13:15
221,287,45,2024-10-17 06:56:06,ativa,default
222,61,56,2025-08-18 05:41:05,ativa,default
223,258,3,2025-05-09 01:26:57,ativa,default
224,67,38,2025-09-10 02:39:00,pendente,default
225,98,51,2024-06-07 03:52:38,concluida,2024-06-21 03:52:38
226,85,57,2024-05-23 09:16:38,ativa,default
227,200,52,2024-02-13 13:22:44,ativa,default
228,2,21,2024-03-20 15:20:01,ativa,default
229,5,66,2024-07-17 04:55:13,concluida,2024-09-27 04:55:13
230,133,39,2025-03-15 12:28:25,concluida,2025-05-29 12:28:25
231,61,22,2025-03-11 21:36:11,ativa,default
232,150,6,2024-01-11 17:52:13,cancelada,default
233,143,18,2025-01-23 21:23:17,ativa,default
234,128,27,2024-04-27 19:02:01,pendente,default
235,178,78,2024-10-14 11:26:49,pendente,default
236,282,34,2025-06-12 08:23:47,concluida,2025-07-24 08:23:47
237,167,8,2024-01-25 22:53:05,concluida,2024-02-27 22:53:05
238,144,23,2025-02-06 22:41:40,ativa,default
239,299,14,2023-11-22 09:21:22,cancelada,default
240,132,78,2024-04-10 15:45:28,concluida,2024-05-13 15:45:28
241,167,35,2025-04-01 02:05:10,ativa,default
242,203,20,2024-07-27 14:49:37,concluida,2024-09-25 14:49:37
243,189,19,2024-06-23 19:51:09,ativa,default
244,236,24,2025-04-29 16:23:15,ativa,default
245,93,37,2025-10-05 11:58:16,ativa,default
246,91,51,2023-11-23 01:08:01,ativa,default
247,74,10,2024-08-16 14:20:04,ativa,default
248,207,13,2024-05-05 18:15:54,concluida,2024-08-21 18:15:54
249,7,78,2025-07-16 09:30:21,ativa,default
250,57,2,2024-01-06 21:40:16,pendente,default
251,43,35,2025-06-02 00:25:17,ativa,default
252,5,14,2024-04-19 10:56:36,concluida,2024-05-04 10:56:36
253,104,18,2024-06-22 02:46:15,concluida,2024-10-09 02:46:15
254,84,40,2024-11-21 05:49:38,ativa,default
255,29,70,2023-11-18 13:31:33,ativa,default
256,64,3,2025-09-11 19:31:13,ativa,default
257,53,66,2024-08-27 18:05:59,pendente,default
258,115,4,2025-03-08 07:42:44,ativa,default
259,181,37,2025-03-09 09:15:20,ativa,default
260,58,63,2025-05-06 19:15:14,ativa,default
261,145,46,2025-08-09 00:50:49,ativa,default
262,185,11,2025-09-12 01:15:16,ativa,default
263,220,68,2024-11-18 01:25:57,ativa,default
264,218,20,2023-12-13 12:17:03,ativa,default
265,147,45,2025-07-12 13:23:37,cancelada,default
266,189,34,2023-10-29 20:29:00,concluida,2024-02-21 20:29:00
267,77,19,2024-12-03 17:53:00,ativa,default
268,245,9,2025-07-03 02:13:30,ativa,default
269,143,19,2025-07-26 11:30:06,cancelada,default
270,94,50,2024-10-30 11:38:16,ativa,default
271,247,53,2024-02-18 00:05:09,ativa,default
272,126,50,2024-08-24 03:15:47,ativa,default
273,274,64,2024-04-29 03:44:27,concluida,2024-06-22 03:44:27
274,43,75,2024-08-21 04:04:42,ativa,default
275,113,12,2025-02-28 10:05:40,pendente,default
276,9,47,2024-04-03 06:00:31,cancelada,default
277,57,8,2024-11-03 10:07:31,concluida,2025-02-26 10:07:31
278,72,38,2024-07-12 18:00:57,concluida,2024-09-25 18:00:57
279,216,32,2025-03-25 15:05:12,pendente,default
280,71,16,2023-11-14 18:03:16,ativa,default
281,14,55,2024-10-11 21:17:41,concluida,2025-01-08 21:17:41
282,298,10,2024-06-25 01:38:22,concluida,2024-07-03 01:38:22
283,76,47,2025-06-04 20:23:16,ativa,default
284,7,73,2024-08-26 17:48:46,concluida,2024-10-30 17:48:46
285,72,68,2023-11-11 12:21:32,ativa,default
286,173,57,2024-01-05 22:46:58,ativa,default
287,80,8,2024-01-08 22:05:40,ativa,default
288,89,65,2025-05-15 22:52:05,ativa,default
289,217,59,2024-04-07 13:52:06,cancelada,default
290,257,40,2023-10-31 14:59:15,ativa,default
291,81,35,2025-07-24 04:16:35,ativa,default
292,65,28,2024-09-11 00:43:30,pendente,default
293,201,24,2024-04-02 01:14:00,concluida,2024-07-20 01:14:00
294,240,62,2024-12-09 23:29:59,ativa,default
295,28,48,2024-01-03 07:49:06,ativa,default
296,56,14,2025-08-08 10:03:29,ativa,default
297,172,4,2025-02-23 12:59:20,ativa,default
298,55,9,2025-03-24 01:31:25,pendente,default
299,159,25,2024-04-10 15:55:09,ativa,default
300,17,31,2025-01-24 20:10:03,cancelada,default
301,290,6,2024-03-28 05:38:56,pendente,default
302,162,12,2024-12-14 22:57:18,cancelada,default
303,145,51,2024-06-01 16:10:06,ativa,default
304,201,46,2025-06-16 19:43:06,ativa,default
305,258,13,2024-05-30 17:47:44,pendente,default
306,196,62,2024-03-05 21:54:06,ativa,default
307,78,60,2025-08-07 00:28:25,pendente,default
308,119,28,2023-11-28 23:26:40,pendente,default
309,83,65,2024-05-16 01:06:01,ativa,default
310,175,58,2025-06-14 10:55:13,ativa,default
311,221,6,2023-10-28 09:09:02,ativa,default
312,39,20,2024-03-25 00:24:24,cancelada,default
313,74,40,2024-04-14 20:05:24,ativa,default
314,233,41,2025-05-06 12:30:04,ativa,default
315,144,74,2024-10-19 10:23:53,pendente,default
316,92,59,2025-02-04 06:01:58,cancelada,default
317,227,18,2025-06-22 02:33:24,ativa,default
318,187,37,2024-09-11 08:22:17,concluida,2024-12-12 08:22:17
319,67,57,2024-10-16 04:36:18,concluida,2024-11-30 04:36:18
320,192,11,2023-11-28 08:13:11,ativa,default
321,135,6,2024-01-29 23:49:17,pendente,default
322,126,72,2025-10-18 17:38:11,concluida,2025-10-26 23:15:49
323,193,21,2024-03-22 08:43:35,concluida,2024-04-24 08:43:35
324,199,60,2023-12-11 19:51:34,ativa,default
325,240,69,2024-07-07 19:17:27,pendente,default
326,56,51,2024-08-09 16:00:04,ativa,default
327,34,41,2024-11-10 01:15:34,ativa,default
328,244,15,2025-01-14 06:42:47,pendente,default
329,80,61,2025-05-29 23:57:15,ativa,default
330,291,5,2024-02-19 09:25:05,pendente,default
331,186,56,2024-06-29 15:29:36,pendente,default
332,12,55,2025-01-23 14:05:10,ativa,default
333,43,19,2025-08-17 13:17:28,ativa,default
334,153,58,2024-08-23 04:09:26,ativa,default
335,133,24,2025-09-01 19:53:53,concluida,2025-10-26 23:15:49
336,176,39,2025-05-11 16:01:58,ativa,default
337,215,62,2024-06-27 03:46:00,ativa,default
338,83,56,2024-10-28 02:29:57,ativa,default
339,6,72,2024-02-23 16:02:04,pendente,default
340,297,79,2025-05-31 11:28:37,ativa,default
341,163,2,2025-05-25 06:33:52,cancelada,default
342,256,41,2025-07-02 08:28:04,ativa,default
343,2,58,2025-06-20 00:10:11,ativa,default
344,297,13,2025-09-19 15:18:14,concluida,2025-10-18 15:18:14
345,216,70,2025-05-09 01:23:03,ativa,default
346,179,27,2025-04-14 02:15:42,cancelada,default
347,190,47,2025-10-10 12:16:13,concluida,2025-10-26 23:15:49
348,64,64,2024-01-01 06:39:41,ativa,default
349,181,46,2024-04-19 07:45:33,ativa,default
350,172,15,2025-04-29 06:33:31,ativa,default
351,91,71,2024-02-25 17:20:30,ativa,default
352,196,37,2023-12-21 07:20:06,ativa,default
353,51,12,2025-07-12 20:00:00,ativa,default
354,211,14,2024-06-05 00:33:03,cancelada,default
355,52,57,2024-05-29 02:06:06,concluida,2024-08-27 02:06:06
356,149,54,2025-03-24 15:08:56,concluida,2025-06-07 15:08:56
357,196,15,2025-04-09 06:10:01,cancelada,default
358,180,60,2024-08-29 23:47:06,concluida,2024-12-06 23:47:06
359,203,1,2024-10-08 15:06:38,ativa,default
360,138,34,2024-12-16 08:09:52,ativa,default
361,3,54,2025-09-23 22:41:54,pendente,default
362,192,67,2024-02-20 11:42:18,ativa,default
363,293,56,2025-02-21 03:01:48,cancelada,default
364,99,79,2024-01-06 08:56:37,concluida,2024-04-22 08:56:37
365,296,55,2025-06-17 00:05:52,ativa,default
366,89,52,2024-12-05 04:25:49,ativa,default
367,119,13,2023-10-30 18:39:51,ativa,default
368,296,51,2024-01-23 13:47:21,concluida,2024-02-17 13:47:21
369,166,27,2025-07-23 19:52:05,pendente,default
370,6,76,2025-05-23 22:15:03,ativa,default
371,279,11,2024-03-20 09:20:27,pendente,default
372,67,59,2024-01-16 00:16:17,concluida,2024-02-13 00:16:17
373,123,29,2024-12-26 16:12:24,ativa,default
374,126,49,2025-02-02 21:22:47,ativa,default
375,74,3,2024-01-12 02:10:12,concluida,2024-01-31 02:10:12
376,236,77,2025-06-23 19:21:55,pendente,default
377,135,24,2025-07-23 20:26:47,ativa,default
378,186,27,2024-09-21 19:35:54,ativa,default
379,12,53,2025-08-12 05:33:01,cancelada,default
380,40,27,2023-11-23 07:58:31,ativa,default
381,161,58,2025-05-15 16:43:02,ativa,default
382,92,73,2024-01-19 01:10:34,concluida,2024-02-08 01:10:34
383,176,45,2024-06-18 00:54:31,ativa,default
384,3,21,2024-05-10 13:59:52,cancelada,default
385,99,78,2025-09-26 03:45:01,pendente,default
386,263,20,2025-03-19 09:58:43,pendente,default
387,112,4,2024-11-25 18:13:08,ativa,default
388,65,35,2025-01-19 05:43:49,ativa,default
389,48,45,2023-11-01 03:11:04,ativa,default
390,240,64,2024-08-06 04:35:55,cancelada,default
391,99,33,2025-05-02 16:03:33,ativa,default
392,144,51,2025-07-13 02:00:50,concluida,2025-10-01 02:00:50
393,160,22,2025-03-30 05:30:08,ativa,default
394,229,55,2024-02-24 13:22:21,concluida,2024-05-18 13:22:21
395,56,78,2024-09-29 07:37:59,ativa,default
396,181,48,2024-01-18 20:55:26,ativa,default
397,18,66,2025-02-09 01:53:47,ativa,default
398,272,46,2024-09-14 22:10:25,pendente,default
399,166,55,2025-04-19 10:14:19,ativa,default
400,111,48,2024-10-11 17:58:59,concluida,2024-10-31 17:58:59
401,5,41,2023-11-22 22:52:01,concluida,2023-12-24 22:52:01
402,239,73,2024-12-01 14:47:36,ativa,default
403,198,37,2024-02-18 15:32:19,ativa,default
404,53,72,2025-01-15 01:07:50,cancelada,default
405,39,74,2024-01-04 07:54:30,ativa,default
406,223,41,2024-12-03 16:02:58,ativa,default
407,253,64,2025-09-09 13:16:21,ativa,default
408,64,58,2025-05-04 01:21:59,ativa,default
409,197,31,2024-03-15 22:29:22,ativa,default
410,295,1,2024-07-11 12:54:37,pendente,default
411,207,5,2024-04-28 04:03:27,pendente,default
412,9,9,2024-07-02 19:48:02,concluida,2024-08-29 19:48:02
413,155,36,2024-12-06 10:40:22,ativa,default
414,285,41,2024-06-08 00:58:11,pendente,default
415,153,59,2024-06-07 23:55:20,cancelada,default
416,63,48,2024-02-02 19:31:23,pendente,default
417,25,2,2025-06-06 19:26:09,cancelada,default
418,224,29,2025-05-05 20:03:33,ativa,default
419,189,69,2025-10-21 21:21:09,ativa,default
420,23,15,2025-09-07 12:11:06,pendente,default
421,169,79,2024-10-03 13:26:12,ativa,default
422,71,75,2024-07-12 18:53:54,pendente,default
423,76,75,2024-08-29 00:04:29,ativa,default
424,63,67,2024-05-04 14:30:24,ativa,default
425,251,36,2024-12-01 05:41:20,ativa,default
426,136,38,2023-10-29 20:14:57,ativa,default
427,125,27,2023-11-15 20:25:24,pendente,default
428,254,8,2025-03-23 22:47:09,ativa,default
429,240,50,2025-04-17 05:30:33,pendente,default
430,107,76,2024-05-04 04:33:08,concluida,2024-08-14 04:33:08
431,160,59,2023-12-25 17:39:25,concluida,2024-01-12 17:39:25
432,67,29,2024-10-19 09:13:31,cancelada,default
433,263,26,2024-09-12 16:25:14,pendente,default
434,217,22,2023-11-24 12:04:51,cancelada,default
435,296,14,2025-05-29 06:28:51,concluida,2025-09-06 06:28:51
436,57,31,2025-10-10 06:29:05,ativa,default
437,15,61,2023-12-19 03:56:05,ativa,default
438,136,16,2024-04-11 20:12:11,ativa,default
439,109,20,2024-09-15 04:58:46,ativa,default
440,171,7,2024-08-01 13:20:21,ativa,default
441,26,49,2024-08-20 16:12:10,ativa,default
442,207,23,2024-02-26 13:13:03,ativa,default
443,253,67,2024-08-09 19:17:18,ativa,default
444,128,15,2025-03-16 19:04:12,pendente,default
445,19,74,2025-01-27 14:34:14,pendente,default
446,52,36,2025-03-09 00:40:56,ativa,default
447,208,51,2024-09-19 19:34:31,ativa,default
448,138,64,2025-03-30 17:02:12,concluida,2025-05-18 17:02:12
449,148,77,2025-01-05 23:09:02,pendente,default
450,258,80,2024-06-25 12:08:50,concluida,2024-09-26 12:08:50
451,123,22,2024-12-08 20:44:06,ativa,default
452,171,59,2025-06-03 22:48:00,ativa,default
453,220,43,2025-10-05 16:48:02,cancelada,default
454,40,22,2023-12-01 22:54:34,ativa,default
455,243,75,2025-10-25 05:29:06,concluida,2025-10-26 23:15:49
456,57,6,2025-10-09 02:36:37,ativa,default
457,149,30,2024-05-07 04:56:41,ativa,default
458,76,13,2025-07-16 12:10:25,concluida,2025-09-01 12:10:25
459,232,63,2024-11-01 03:23:42,ativa,default
460,250,33,2024-10-18 06:33:40,pendente,default
461,181,39,2023-10-30 11:06:46,concluida,2024-02-11 11:06:46
462,248,15,2025-01-23 04:21:23,concluida,2025-01-30 04:21:23
463,76,53,2025-03-15 18:06:25,ativa,default
464,16,32,2024-03-14 07:34:54,ativa,default
465,46,25,2024-10-05 00:00:29,pendente,default
466,141,70,2024-07-23 04:04:47,ativa,default
467,179,43,2024-09-21 01:48:49,ativa,default
468,142,40,2025-04-14 21:46:02,ativa,default
469,176,79,2025-06-23 07:28:55,concluida,2025-09-08 07:28:55
470,178,37,2025-07-06 22:57:37,ativa,default
471,76,60,2023-11-29 17:47:39,ativa,default
472,149,80,2024-04-03 17:20:36,ativa,default
473,148,9,2024-12-29 22:41:46,ativa,default
474,112,37,2024-02-27 18:46:11,pendente,default
475,157,1,2024-08-12 10:26:19,ativa,default
476,129,18,2024-11-02 12:57:01,concluida,2025-01-10 12:57:01
477,288,20,2025-07-30 13:24:32,pendente,default
478,101,56,2024-03-06 20:19:30,ativa,default
479,17,61,2024-10-28 14:12:28,concluida,2025-01-22 14:12:28
480,198,55,2024-09-13 19:41:26,concluida,2024-10-26 19:41:26
481,160,23,2024-03-28 07:23:46,ativa,default
482,166,75,2025-06-06 16:00:00,ativa,default
483,214,71,2025-04-05 12:18:09,ativa,default
484,153,73,2024-01-22 06:28:25,ativa,default
485,193,56,2025-07-20 18:13:02,ativa,default
486,161,65,2023-11-25 10:14:44,ativa,default
487,219,60,2024-08-22 08:19:36,ativa,default
488,287,4,2024-08-21 20:02:39,concluida,2024-11-12 20:02:39
489,155,32,2024-03-11 04:36:54,ativa,default
490,279,73,2024-12-30 21:18:52,concluida,2025-02-23 21:18:52
491,65,52,2023-12-10 23:02:49,ativa,default
492,266,59,2025-09-01 20:10:53,pendente,default
493,55,43,2024-02-26 19:43:03,concluida,2024-05-13 19:43:03
494,247,43,2025-08-25 18:50:32,concluida,2025-10-26 23:15:49
495,262,7,2023-11-08 15:47:51,ativa,default
496,288,64,2025-06-09 15:07:29,concluida,2025-09-03 15:07:29
497,80,39,2024-01-22 11:56:40,concluida,2024-01-27 11:56:40
498,249,80,2023-11-22 15:57:23,pendente,default
499,1,20,2024-02-16 18:51:25,ativa,default
500,127,27,2025-07-12 06:00:55,pendente,default
501,259,57,2024-09-21 21:14:15,cancelada,default
502,154,52,2024-06-18 16:33:46,concluida,2024-10-08 16:33:46
503,280,34,2024-02-07 07:16:32,concluida,2024-04-30 07:16:32
504,64,56,2025-05-30 00:06:02,pendente,default
505,73,31,2025-05-05 04:38:24,concluida,2025-07-18 04:38:24
506,103,61,2024-06-22 12:42:14,ativa,default
507,52,76,2024-06-09 09:53:22,ativa,default
508,201,50,2023-11-12 19:21:21,ativa,default
509,15,37,2024-07-15 18:53:24,ativa,default
510,6,75,2024-12-20 22:01:22,ativa,default
511,228,6,2024-10-28 18:11:31,ativa,default
512,235,36,2025-10-17 17:29:59,ativa,default
