id,matricula_id,nota,comentario,data_avaliacao
118,210,4,Deleniti autem dignissimos nihil minus similique quis est iste culpa.,2024-06-09
119,211,2,Autem consectetur totam harum iste nulla dicta id architecto incidunt placeat veritatis.,2024-11-16
120,212,2,Officiis corporis soluta quia dolores tempora deleniti adipisci optio iste eaque unde assumenda.,2024-01-15
121,214,2,Distinctio id inventore ex ipsam fuga aliquid fugit unde deserunt deleniti.,2024-10-01
122,215,4,Nisi minus laudantium inventore perspiciatis officia vero dolor.,2025-04-19
123,216,5,Tempora nemo dolores minus eius sunt.,2025-02-06
124,222,2,Hic aut quasi sunt eaque dignissimos ratione expedita enim nisi quasi.,2024-12-13
125,224,1,Delectus tenetur numquam qui sequi porro cumque.,2024-03-19
126,228,2,Cumque ex iste vitae pariatur incidunt.,2025-10-19
127,230,4,Debitis eaque aspernatur perspiciatis sequi nisi.,2024-05-20
128,231,2,Nesciunt laborum dolorum autem reprehenderit necessitatibus voluptatibus saepe minima cumque corporis atque.,2025-06-28
129,232,4,Rem excepturi laudantium expedita molestias optio ducimus itaque repudiandae.,2025-03-13
130,234,3,Quae tempora quo sequi temporibus nisi beatae placeat quas.,2024-07-14
131,239,5,Corporis illum dolore voluptatibus facere adipisci.,2025-04-18
132,240,5,Qui voluptate facere quia deserunt veritatis odit vitae soluta perspiciatis tempore ipsum vero.,2024-08-17
133,241,1,Cupiditate tenetur expedita ex nihil veniam eius deleniti neque praesentium rerum commodi.,2025-03-02
134,242,2,Necessitatibus recusandae expedita beatae ab unde corporis perspiciatis minima enim nam.,2025-10-16
135,243,3,Esse enim reiciendis accusamus aliquam eligendi nihil amet.,2024-05-09
136,244,4,A explicabo rerum amet consequuntur soluta quos magnam vero.,2024-07-08
137,246,4,Culpa assumenda earum voluptatum deserunt nesciunt aspernatur dolor labore explicabo repellat odio in.,2025-06-30
138,249,5,Tempora ullam nisi cupiditate ipsa soluta rem.,2025-10-18
139,250,2,Placeat dicta consequatur mollitia error assumenda necessitatibus.,2025-07-15
140,253,3,Itaque delectus quos rerum atque minima possimus magnam placeat facere explicabo iure vero itaque.,2024-05-06
141,254,4,Ad quisquam at consequuntur tenetur ratione neque fuga numquam tempore soluta amet sapiente.,2025-10-20
142,256,1,Illo ab rem soluta itaque amet amet.,2024-05-27
143,257,3,Ex atque enim laboriosam ex aperiam qui.,2024-11-18
144,262,4,Qui amet dignissimos corporis qui libero dolore perferendis sequi error est voluptatibus.,2025-05-07
145,263,5,Rem numquam dicta architecto corrupti sunt.,2025-09-10
146,267,5,Atque dignissimos labore rerum ipsam animi commodi illo voluptatem reprehenderit sapiente molestias.,2025-03-18
147,268,4,Placeat similique nulla inventore odio delectus repellendus omnis cupiditate qui molestias labore enim.,2024-02-09
148,269,5,Vero laudantium pariatur hic possimus autem impedit.,2024-06-20
149,271,3,Corporis eligendi blanditiis harum neque alias officiis omnis ipsam tenetur explicabo.,2025-08-31
150,272,5,Iusto quam eius voluptatem facere sequi magnam.,2025-06-05
151,274,1,Temporibus minima maiores cupiditate corrupti omnis natus itaque similique consequuntur.,2025-08-30
152,277,2,Unde architecto saepe laborum vitae non debitis provident magni.,2025-06-08
153,278,1,Ea possimus nihil neque nesciunt rerum architecto adipisci quasi doloremque pariatur libero.,2025-01-13
154,279,3,Eum doloremque quo totam recusandae autem sunt quas fugit voluptate ullam aperiam.,2023-12-24
155,284,3,Beatae sed asperiores quis non sapiente unde eum praesentium.,2024-03-12
156,290,2,Consequatur odit nam deserunt laudantium perspiciatis dolorem quia inventore minus.,2025-09-03
157,293,2,Assumenda ad vero atque alias consequuntur a quo.,2025-06-13
158,294,2,Molestias asperiores delectus quas tenetur odit libero rerum necessitatibus labore explicabo nulla nam.,2023-11-13
159,295,2,Reiciendis ipsa numquam soluta necessitatibus consectetur maxime.,2025-09-12
160,296,4,Blanditiis dolorem nobis ex dolore velit ullam.,2024-11-16
161,297,4,Hic facere sit culpa enim modi dolores maxime nostrum.,2025-04-07
162,300,5,Id animi possimus beatae iusto totam ea adipisci excepturi.,2025-03-02
163,301,3,Dicta suscipit animi dignissimos repellendus eveniet quidem totam aperiam.,2024-09-12
164,302,5,Asperiores veniam temporibus praesentium quisquam alias voluptatem veniam nisi nostrum aspernatur mollitia.,2025-03-09
165,307,1,Earum aliquam alias magni officiis inventore esse.,2024-07-01
166,308,5,Accusantium animi quo repellat modi similique placeat qui.,2025-09-13
167,311,1,Laboriosam harum fugiat commodi praesentium mollitia blanditiis blanditiis nulla temporibus explicabo exercitationem ullam.,2025-01-28
168,315,4,Doloremque nihil dolorem quibusdam suscipit recusandae necessitatibus voluptatibus accusamus.,2024-09-18
169,316,1,Repellat asperiores consectetur debitis aliquam expedita omnis doloribus eos.,2025-04-01
170,317,1,Id omnis omnis asperiores vel dignissimos provident repellendus tempore similique ipsam esse facilis.,2024-05-30
171,318,5,Eos officiis minima eaque possimus magnam amet tempore provident numquam eius dignissimos consequatur.,2024-10-12
172,321,1,Dolorem quia distinctio fuga repellendus consequuntur voluptate praesentium officiis iste beatae libero.,2024-09-27
173,324,5,Earum nihil error vitae animi sequi.,2024-09-16
174,325,3,Libero sint harum aliquid dignissimos delectus inventore amet esse molestiae.,2024-03-08
175,328,1,Vel tenetur quidem excepturi repudiandae ea quidem dolor ad quas.,2024-07-30
176,329,2,Ipsa incidunt quas quasi animi autem harum quam perspiciatis similique vel iure nemo.,2023-11-23
177,331,2,Quisquam ea vero iusto voluptatibus dolores tenetur eligendi placeat earum voluptatum quo eos.,2024-03-22
178,332,3,Hic nulla facere omnis quos repellat non commodi necessitatibus eum eaque debitis iure.,2024-01-01
179,333,4,Ab alias facere odit nam illum neque aspernatur tempore mollitia veritatis.,2025-04-13
180,335,4,Debitis quisquam eius sit consectetur occaecati corporis nulla amet beatae aliquam.,2025-06-27
181,336,2,Similique neque aliquam quaerat aperiam quaerat ea ducimus perspiciatis similique explicabo quaerat.,2025-02-05
182,343,2,Doloremque autem magni beatae aspernatur dignissimos necessitatibus repudiandae perspiciatis architecto incidunt eligendi ad.,2025-07-13
183,347,4,Ratione ex illum officiis iusto voluptate numquam cum aliquid ut tenetur ad non.,2024-02-24
184,348,5,Magni quos magni neque exercitationem dolor rerum adipisci quas fugit.,2024-09-02
185,355,2,Veritatis vero voluptatibus natus voluptatum occaecati quasi.,2025-04-02
186,356,2,Quasi sed minus amet iusto minima ipsam eaque saepe eos doloribus doloribus.,2025-06-09
187,359,3,Doloremque et voluptas possimus ipsam vero illum aspernatur natus asperiores.,2023-12-13
188,360,2,Officiis non ipsum in necessitatibus repudiandae commodi modi quod illum.,2025-03-08
189,361,2,Pariatur non recusandae exercitationem blanditiis illum magnam corrupti laudantium sunt dicta debitis iste.,2025-09-19
190,362,3,Blanditiis ea mollitia ut quia consectetur alias inventore.,2023-12-10
191,363,1,Voluptatibus consequatur sint ullam temporibus explicabo illo nam.,2024-10-07
192,364,4,Blanditiis tempore tempore nihil nulla voluptatibus aliquid qui explicabo.,2024-09-20
193,366,4,Tenetur occaecati qui ipsa quidem praesentium quasi quam nihil reprehenderit magni.,2024-09-08
194,373,2,Tempora nisi fuga officiis fugit ipsa magni.,2024-10-20
195,374,5,Eius quo doloremque laudantium aliquid maxime minima magni unde eligendi fugit quidem veritatis.,2024-06-28
196,375,5,Repellendus quasi voluptatibus distinctio maxime nemo.,2024-05-28
197,377,2,Et expedita cumque enim laborum dolore cumque vel ea non autem doloremque eius.,2025-01-11
198,378,3,Dignissimos saepe quidem ad temporibus vero molestiae.,2025-01-05
199,379,1,Ab rerum ad dicta velit necessitatibus quasi maxime.,2024-03-17
200,383,1,Eos autem provident sapiente ipsam inventore ea sint voluptatibus quasi blanditiis.,2024-11-09
201,386,3,Rem quia dolore asperiores culpa excepturi iste quasi perferendis asperiores.,2024-03-14
202,387,4,Tempora alias aut provident maxime deleniti nam saepe numquam veniam.,2025-04-22
203,389,4,Ab consequatur fugiat velit perferendis eaque corrupti repellendus quasi eligendi dicta soluta veritatis similique.,2025-01-15
204,390,5,A architecto nam dignissimos debitis in ea fugit.,2025-06-25
205,391,1,Doloremque expedita minus veritatis soluta sapiente soluta pariatur laudantium occaecati nisi molestiae eos.,2025-01-06
206,396,2,Beatae sunt quidem enim voluptas eveniet optio blanditiis.,2024-08-26
207,397,3,Vero optio expedita id consectetur sunt saepe sint nobis porro adipisci.,2024-12-12
208,399,5,Magni suscipit quos aperiam quo ea et hic ipsam.,2024-08-28
209,401,1,Ea amet laborum dolor odio aliquid ipsum dolore soluta modi quod.,2023-11-28
210,402,1,Veniam nostrum ex non accusantium quam rem.,2024-06-04
211,405,1,Quos ex explicabo quisquam aperiam aliquid distinctio.,2025-08-04
212,407,5,Dicta culpa modi similique dolorem reiciendis tenetur ex dolor quasi velit alias.,2025-01-10
213,408,3,Quidem minima magnam recusandae aliquam eligendi.,2023-12-21
214,410,5,Dolorem quo dolorum earum commodi quos.,2024-07-10
215,411,4,Consectetur qui earum assumenda asperiores quam quis impedit accusamus rerum non.,2025-09-06
216,412,2,Atque nihil hic rerum similique quos incidunt.,2024-01-01
217,414,3,Error itaque aut voluptas nemo fugiat.,2025-05-26
218,416,2,At vitae natus laboriosam tenetur modi doloribus accusantium libero hic fuga.,2024-03-12
219,417,3,Quaerat iste neque ad quo ipsum labore autem est corporis occaecati assumenda.,2024-09-03
220,418,1,Cumque sint laudantium dolorum consequuntur nulla labore quam necessitatibus doloremque quisquam dolorum est.,2025-07-02
221,421,3,Rerum alias porro nisi sit eaque distinctio natus laborum libero.,2025-05-21
222,423,3,Eum quae maiores similique voluptatibus aspernatur autem praesentium fugiat.,2024-11-25
223,424,1,Cum quibusdam cumque ipsa voluptas aliquam.,2025-09-18
224,426,2,Libero numquam minima consequuntur soluta in ab blanditiis voluptatum quam sunt.,2025-06-16
225,427,3,Minima nostrum fuga officiis consequuntur minima dignissimos nostrum quaerat.,2024-07-07
226,428,1,Non iusto distinctio ex quia voluptatum unde cum quaerat labore et debitis.,2024-02-14
227,429,5,Architecto voluptate est deleniti possimus modi ex aperiam iusto culpa expedita nam.,2023-11-17
228,431,4,Exercitationem accusamus deserunt eligendi tenetur incidunt quas facilis.,2024-05-01
229,433,2,Vel natus odit dicta nihil aut dolor debitis natus consectetur minima.,2025-09-19
230,434,4,Ex quo nihil eius rem sit pariatur labore cumque quos.,2024-01-26
231,435,2,At rem corporis cum soluta eum tempore amet.,2024-05-12
232,436,1,Rem incidunt iusto esse quis dolores hic quo provident explicabo saepe et.,2024-02-17
233,437,4,Sunt sapiente veritatis veniam rerum quae saepe.,2025-02-14
234,438,3,Ipsam possimus dolorum blanditiis tempore officiis debitis sint sequi quo exercitationem incidunt nulla.,2024-02-02
235,443,2,Fugit debitis quibusdam ab ipsam minima ab est.,2024-01-08
236,444,5,Tenetur totam magnam accusamus earum officia odit.,2025-04-13
237,446,3,Aliquam possimus ducimus numquam voluptas reprehenderit sint unde voluptatum odio laudantium.,2024-10-17
238,450,3,Quibusdam officia molestias aut fuga nostrum quae provident debitis sed assumenda rerum.,2025-03-09
239,451,4,Animi odit aperiam atque molestias voluptatem deserunt.,2025-07-27
240,452,1,Qui ex perferendis tempore tempore cumque voluptates quam facilis accusamus optio impedit pariatur.,2024-07-01
241,453,1,Aperiam repudiandae magnam quas assumenda ipsam.,2024-04-08
242,454,2,Non porro illum odio sapiente velit est natus blanditiis.,2024-09-21
243,455,1,Necessitatibus possimus necessitatibus iure blanditiis at quas delectus nihil vitae quisquam.,2024-05-25
244,457,1,Dolor fugiat aspernatur quam doloribus saepe.,2025-07-16
245,458,2,Quibusdam qui est fugit enim eius natus impedit.,2024-09-15
246,459,5,Earum dicta voluptatem ea ipsam at explicabo facilis.,2025-03-11
247,462,1,Ipsum occaecati rerum alias rerum harum modi distinctio praesentium expedita repellat recusandae.,2024-06-07
248,463,3,Exercitationem voluptas mollitia quia eaque maiores distinctio dolor.,2024-04-26
249,465,3,Adipisci beatae omnis delectus consequuntur nesciunt fuga fugiat nihil.,2024-07-28
250,466,2,Eum autem facere tempore culpa labore.,2025-03-17
251,467,2,Officia aut totam esse iure delectus accusantium repellat itaque nemo.,2023-10-26
252,468,1,Quasi labore doloribus quam nobis laboriosam illo aliquam ut doloremque vel.,2024-02-10
253,469,2,Autem incidunt earum neque nihil cum cumque error nisi possimus minima veritatis.,2024-11-04
254,477,3,Quibusdam consectetur ex vero voluptas est quisquam reiciendis itaque cumque a corporis sunt.,2024-09-06
255,478,5,Esse delectus similique ipsa quam culpa nam quod a.,2024-11-13
256,479,1,Exercitationem iusto placeat praesentium totam pariatur rerum provident.,2024-09-21
257,484,1,Harum et vel id eveniet eligendi perferendis.,2024-04-29
258,485,4,Nisi modi expedita pariatur voluptas ad suscipit debitis doloremque facere magnam.,2025-01-16
259,487,3,Nostrum quibusdam totam officia consequuntur deleniti.,2025-03-04
260,491,1,Error at fugit debitis corrupti est perferendis laboriosam.,2023-12-20
261,492,4,Vero in cum placeat rerum iure assumenda placeat aut.,2025-04-29
262,494,3,Rem accusamus eum nemo fugit iste laborum vero illo quo esse.,2023-12-15
263,495,4,Quia blanditiis rem tenetur magnam quos quae sapiente voluptas.,2023-12-22
264,496,3,Quos voluptatem minus fugit perferendis corrupti excepturi.,2025-01-14
265,497,3,Ducimus maiores nostrum sit ipsa iure aliquam sint itaque amet nobis fuga incidunt.,2025-02-09
266,498,2,Quisquam ad eaque eos impedit ipsum error alias beatae.,2024-01-23
267,499,4,Minus id cupiditate modi commodi corporis.,2025-01-24
268,500,3,Inventore earum voluptas porro doloribus repudiandae rerum quasi minima itaque asperiores fuga.,2024-11-21
269,501,5,Non quam repellat aut maiores quas excepturi.,2023-12-09
270,503,2,In ad veniam ducimus officiis sunt saepe inventore blanditiis.,2024-02-27
271,504,4,Necessitatibus voluptatum nulla molestiae recusandae possimus aliquid nemo.,2024-10-23
272,505,1,Quis ipsa quia quod eius perferendis non tenetur.,2025-06-07
273,506,4,Earum illum accusantium impedit consectetur eaque nobis voluptate et.,2025-05-16
274,507,4,Dolore quae dolore nostrum quas non itaque in.,2025-07-18
275,509,3,Eveniet harum ut accusamus excepturi expedita ipsam iure quia distinctio possimus perferendis ducimus.,2025-08-10
276,512,5,Optio necessitatibus aspernatur laborum voluptates assumenda.,2024-09-06
277,513,4,Fuga eos et perferendis adipisci numquam cumque expedita inventore voluptatum ad voluptate.,2024-09-05
278,515,2,Quia voluptatibus fugiat modi fugiat veniam commodi id distinctio beatae enim sint quisquam.,2025-08-10
279,516,4,Mollitia explicabo dolor tempore eius quo occaecati optio porro odio odio.,2025-03-03
280,519,4,Modi hic similique libero iure repudiandae ipsum unde debitis enim minus ex.,2023-12-27
281,521,3,Omnis placeat atque neque in in deleniti adipisci dolore non magnam.,2023-11-12
282,523,4,Nobis quasi veniam eveniet dolorum necessitatibus iusto.,2023-12-30
283,524,2,Veritatis ad nobis ratione harum maiores deserunt.,2024-01-11
284,529,1,Itaque quam dolores iusto quae dicta consequatur aperiam.,2024-02-16
285,531,3,Dignissimos itaque doloribus nobis voluptatibus reiciendis.,2025-04-16
286,536,1,Magnam beatae nobis ex ullam culpa iure vitae ab adipisci perspiciatis.,2025-05-30
287,537,5,Voluptatum similique architecto impedit ea quaerat commodi quod officia modi ad laboriosam.,2025-08-15
288,540,4,Eos id reprehenderit quisquam facilis quaerat.,2025-01-19
289,542,3,Occaecati ipsam ratione aut sed quidem neque recusandae quam facilis omnis consequuntur.,2024-06-21
290,544,4,Recusandae distinctio atque odit asperiores tempore laudantium doloribus ea.,2024-03-29
291,545,3,Porro ex ipsum ducimus eius alias consequuntur maxime ad.,2024-04-15
292,546,3,Natus quae esse quaerat necessitatibus esse quae perferendis culpa rem.,2024-03-17
293,550,2,Corporis eos fugit odio adipisci distinctio esse.,2024-09-25
294,551,1,Accusamus facilis magni sit maxime labore tempore voluptas officia nesciunt magnam minima fugiat.,2025-02-03
295,552,4,Officiis sit laboriosam laborum fugit pariatur aperiam dolore dignissimos corrupti non quas.,2025-02-16
296,553,2,Officiis explicabo itaque totam temporibus saepe sapiente.,2024-06-30
297,554,4,Tempore qui facilis adipisci occaecati veritatis magni earum vitae sed modi aspernatur.,2025-01-19
298,555,2,Ipsum minima doloribus reiciendis delectus vel.,2024-07-06
299,556,5,Dolorem quaerat debitis voluptatem eaque eius quia quasi totam.,2023-12-29
300,557,4,Minima aperiam dolorem nesciunt neque iure modi.,2025-03-10
301,558,3,Eum odio deserunt blanditiis assumenda deserunt.,2024-02-25
302,560,3,Nihil nisi error ab inventore temporibus quam ipsam odit nihil odio quidem.,2025-07-04
303,561,4,Dolorum illum earum occaecati eveniet laboriosam.,2024-08-27
304,562,2,Veritatis error sint dolorum eius natus est ipsam voluptate.,2025-08-05
305,568,4,Laborum eum voluptate iusto cum aperiam inventore esse.,2024-11-01
306,569,4,Exercitationem porro reprehenderit deserunt autem doloremque esse esse quisquam iusto placeat.,2025-02-13
307,574,2,Distinctio perferendis eum deleniti id cupiditate culpa optio eveniet maiores labore nisi impedit.,2024-12-14
308,577,1,Dolorem ea vel rerum fuga esse quas repudiandae et.,2024-09-14
309,581,3,Incidunt hic impedit quis illo voluptas explicabo rem voluptate.,2025-01-15
310,582,2,Accusantium provident dignissimos quaerat eos fuga eum ratione eveniet.,2024-03-15
311,584,5,Qui reiciendis nulla ipsam earum asperiores cum quam velit nihil veritatis veniam quos.,2023-12-02
