id,modulo_id,titulo,ordem_aula,duracao_minutos,tipo
682,92,Aula 2,2,25,texto
683,92,Aula 3,3,12,texto
684,92,Aula 4,4,12,texto
685,92,Aula 5,5,15,texto
686,92,Aula 6,6,7,quiz
687,92,Aula 7,7,16,video
688,93,Aula 1,1,10,video
689,93,Aula 2,2,21,video
690,93,Aula 3,3,17,video
691,93,Aula 4,4,19,texto
692,93,Aula 5,5,14,texto
693,93,Aula 6,6,7,quiz
694,94,Aula 1,1,5,texto
695,94,Aula 2,2,11,texto
696,94,Aula 3,3,23,texto
697,94,Aula 4,4,24,video
698,94,Aula 5,5,19,texto
699,94,Aula 6,6,23,texto
700,94,Aula 7,7,11,quiz
701,94,Aula 8,8,22,video
702,94,Aula 9,9,9,video
703,95,Aula 1,1,5,video
704,95,Aula 2,2,22,texto
705,95,Aula 3,3,25,quiz
706,95,Aula 4,4,5,texto
707,95,Aula 5,5,5,quiz
708,95,Aula 6,6,17,quiz
709,95,Aula 7,7,14,video
710,95,Aula 8,8,11,quiz
711,95,Aula 9,9,12,texto
712,96,Aula 1,1,6,video
713,96,Aula 2,2,13,video
714,96,Aula 3,3,6,video
715,96,Aula 4,4,21,texto
716,96,Aula 5,5,16,texto
717,96,Aula 6,6,7,quiz
718,96,Aula 7,7,8,quiz
719,96,Aula 8,8,9,quiz
720,96,Aula 9,9,17,video
721,97,Aula 1,1,18,quiz
722,97,Aula 2,2,9,video
723,97,Aula 3,3,14,texto
724,97,Aula 4,4,15,texto
725,97,Aula 5,5,15,texto
726,97,Aula 6,6,19,texto
727,98,Aula 1,1,7,video
728,98,Aula 2,2,9,quiz
729,98,Aula 3,3,8,video
730,98,Aula 4,4,8,video
731,98,Aula 5,5,19,texto
732,98,Aula 6,6,15,texto
733,98,Aula 7,7,8,quiz
734,99,Aula 1,1,11,texto
735,99,Aula 2,2,14,texto
736,99,Aula 3,3,13,video
737,99,Aula 4,4,7,video
738,99,Aula 5,5,14,quiz
739,99,Aula 6,6,24,video
740,99,Aula 7,7,11,texto
741,99,Aula 8,8,9,video
742,100,Aula 1,1,16,texto
743,100,Aula 2,2,21,video
744,100,Aula 3,3,14,texto
745,100,Aula 4,4,10,video
746,100,Aula 5,5,17,texto
747,100,Aula 6,6,22,quiz
748,100,Aula 7,7,22,video
749,101,Aula 1,1,19,video
750,101,Aula 2,2,9,video
751,101,Aula 3,3,5,video
752,101,Aula 4,4,12,video
753,101,Aula 5,5,11,texto
754,101,Aula 6,6,16,quiz
755,102,Aula 1,1,23,quiz
756,102,Aula 2,2,13,video
757,102,Aula 3,3,5,video
758,102,Aula 4,4,11,quiz
759,102,Aula 5,5,19,video
760,102,Aula 6,6,7,texto
761,103,Aula 1,1,6,texto
762,103,Aula 2,2,6,video
763,103,Aula 3,3,23,texto
764,103,Aula 4,4,17,texto
765,103,Aula 5,5,5,texto
766,103,Aula 6,6,18,video
767,104,Aula 1,1,11,video
768,104,Aula 2,2,13,texto
769,104,Aula 3,3,19,video
770,104,Aula 4,4,6,quiz
771,104,Aula 5,5,24,quiz
772,104,Aula 6,6,12,quiz
773,104,Aula 7,7,14,texto
774,104,Aula 8,8,18,quiz
775,105,Aula 1,1,6,video
776,105,Aula 2,2,13,texto
777,105,Aula 3,3,9,texto
778,105,Aula 4,4,11,quiz
779,105,Aula 5,5,21,video
780,105,Aula 6,6,25,quiz
781,105,Aula 7,7,5,texto
782,105,Aula 8,8,16,texto
783,105,Aula 9,9,22,texto
784,106,Aula 1,1,23,quiz
785,106,Aula 2,2,15,texto
786,106,Aula 3,3,13,video
787,106,Aula 4,4,5,texto
788,106,Aula 5,5,24,video
789,106,Aula 6,6,5,texto
790,106,Aula 7,7,6,texto
791,106,Aula 8,8,21,texto
792,107,Aula 1,1,10,video
793,107,Aula 2,2,12,quiz
794,107,Aula 3,3,12,texto
795,107,Aula 4,4,22,quiz
796,107,Aula 5,5,6,video
797,107,Aula 6,6,23,texto
798,107,Aula 7,7,16,video
799,108,Aula 1,1,12,quiz
800,108,Aula 2,2,15,quiz
801,108,Aula 3,3,16,quiz
802,108,Aula 4,4,5,quiz
803,108,Aula 5,5,16,quiz
804,108,Aula 6,6,23,video
805,108,Aula 7,7,23,video
806,109,Aula 1,1,22,texto
807,109,Aula 2,2,10,texto
808,109,Aula 3,3,6,video
809,109,Aula 4,4,6,video
810,109,Aula 5,5,24,video
811,109,Aula 6,6,5,quiz
812,109,Aula 7,7,20,video
813,109,Aula 8,8,15,quiz
814,109,Aula 9,9,11,video
815,110,Aula 1,1,10,texto
816,110,Aula 2,2,6,video
817,110,Aula 3,3,9,quiz
818,110,Aula 4,4,9,video
819,110,Aula 5,5,21,texto
820,110,Aula 6,6,7,texto
